status,EAR,MAR,MOE,pupil,n_EAR,n_MAR,n_MOE,n_pupil
0,2.581571377,1,0.387360973,0.068492771,-0.484222871,-0.430659022,-0.305730772,-0.102442986
0,2.483913107,1.002764345,0.403703472,0.082774242,-2.237261452,-0.382358484,0.631899691,2.784024177
0,2.469114329,1.08369482,0.438900219,0.07801016,-2.50291051,1.031714319,2.65126906,1.821142639
0,2.239898104,0.935720945,0.417751568,0.106246447,-6.617512196,-1.553786786,1.43789163,7.528055968
0,2.318178168,0.818618193,0.353129973,0.09403495,-5.212326846,-3.59988643,-2.269691598,5.059956816
0,2.602406718,1.052535989,0.404447153,0.066479378,-0.11021301,0.487285841,0.674567488,-0.509375376
0,2.444444673,1.103083334,0.451261322,0.083612519,-2.945749179,1.370483741,3.360471867,2.953450727
0,2.417668532,1.034906849,0.428059858,0.081468405,-3.42640082,0.179257403,2.0293169,2.520097986
0,2.518040007,1.049969513,0.416978884,0.086299969,-1.624658209,0.442442597,1.393559872,3.496618573
0,2.569315351,1.055053878,0.410636195,0.075832002,-0.704227667,0.531280123,1.029655984,1.380909145
0,2.36640853,1.028991511,0.434832573,0.095594749,-4.346555972,0.075900552,2.417892964,5.375212045
0,2.58053408,1.053746211,0.408344234,0.079603598,-0.502843134,0.508431665,0.898157587,2.143196735
0,2.683340967,0.956349602,0.356402564,0.077622552,1.342616945,-1.193348737,-2.08193075,1.742801942
0,2.411703184,0.944114056,0.391471912,0.083060941,-3.533483263,-1.407136585,-0.069870777,2.841969862
0,2.446592165,0.967299741,0.395366157,0.090122161,-2.907200111,-1.002020382,0.153556655,4.269132359
0,2.50956705,0.934565014,0.372400894,0.087283853,-1.77675409,-1.573984012,-1.164046574,3.695474175
0,2.402390797,0.929231572,0.38679451,0.096484293,-3.700647533,-1.667173565,-0.338230842,5.555000309
0,2.675682088,0.887221597,0.331587075,0.087955758,1.205134364,-2.40120068,-3.505688432,3.83127475
0,2.759790637,0.97384121,0.352867785,0.066885966,2.714945359,-0.887723359,-2.284734282,-0.42719881
0,2.743651949,1.030578237,0.375622804,0.068037976,2.425243915,0.103624926,-0.97919355,-0.194362931
0,2.549080895,1,0.39229826,0.079964456,-1.067451184,-0.430659022,-0.022460086,2.216130711
0,2.398230361,1.001557391,0.417623514,0.084951203,-3.775330457,-0.403447222,1.430544703,3.224015716
0,2.521722566,0.996587668,0.395201154,0.077072244,-1.558553532,-0.490281633,0.144089813,1.631577816
0,2.18381628,0.950419871,0.435210544,0.095307021,-7.624222646,-1.296957058,2.439578561,5.317058701
0,3.064745597,0.964332052,0.314653214,0.052732581,8.189113674,-1.053873896,-4.477247547,-3.287778376
0,2.426545959,1.001921231,0.412900167,0.088562049,-3.267044418,-0.397089949,1.159548565,3.953813723
0,2.465628036,1.059753237,0.42981067,0.079778669,-2.565492072,0.613390541,2.129767512,2.178580784
0,2.772333315,1.063302518,0.383540649,0.061875935,2.940095763,0.675406018,-0.524917089,-1.439789954
0,2.694938046,1.002172903,0.371872335,0.062645356,1.550793123,-0.392692563,-1.194372006,-1.284280213
0,2.519545557,1.075887655,0.427016552,0.08096579,-1.597632471,0.895302171,1.969458484,2.418513109
0,2.165910358,0.973417168,0.449426342,0.100985528,-7.945647258,-0.895132501,3.255192169,6.464757317
0,2.235959311,0.946423918,0.423274213,0.089555594,-6.688216474,-1.366777101,1.754746496,4.154621884
0,2.48023875,0.972833608,0.392233856,0.088275961,-2.30321889,-0.905328869,-0.026155203,3.895991756
0,2.271953068,0.950286993,0.41826876,0.102144708,-6.042101767,-1.299278792,1.467564906,6.699042225
0,2.422123053,0.974942022,0.402515479,0.083091049,-3.346438855,-0.868489219,0.56374009,2.848054971
0,2.522577584,1.027693459,0.407398157,0.082737416,-1.543205337,0.053220104,0.843877641,2.776581215
0,2.872299226,1.024843831,0.3568026,0.065696502,4.734558207,0.003429444,-2.058979224,-0.667604672
0,2.3642522,0.953132487,0.403143323,0.092683215,-4.385263703,-1.249560369,0.599761817,4.786754052
0,2.392347444,0.943914577,0.394555807,0.08446089,-3.880933181,-1.410622019,0.107063868,3.124917277
0,2.844831416,0.981150142,0.344888677,0.057864796,4.241490586,-0.760016673,-2.742525665,-2.250492282
0,2.727579035,1.163377959,0.426524014,0.064976373,2.136723157,2.423992807,1.941199772,-0.813151837
0,2.479333164,0.992733782,0.400403543,0.078205845,-2.319474831,-0.557619369,0.442570366,1.86069294
0,2.407170632,0.993189478,0.412596209,0.081261742,-3.614845939,-0.549657135,1.142109381,2.478328783
0,2.565388014,1.034575113,0.403282118,0.076727123,-0.77472628,0.173461078,0.607725056,1.561824465
0,2.381858636,1.0460361,0.439168003,0.090400393,-4.06921509,0.373715314,2.66663281,4.325366587
0,2.830199876,1.020272332,0.360494798,0.067946539,3.978843562,-0.076446925,-1.847143974,-0.212843412
0,2.475934243,1.028365921,0.415344601,0.08208093,-2.380487992,0.064969811,1.299794926,2.643896966
0,2.75279288,1.059306918,0.384811704,0.070521385,2.589330421,0.60559216,-0.451991888,0.307565783
0,2.238885699,1.009209711,0.450764285,0.091697245,-6.635685621,-0.269740633,3.33195499,4.587476872
0,2.312167254,1.033186357,0.446847586,0.090172139,-5.320227212,0.149195784,3.107239319,4.2792336
0,2.561204399,0.979420301,0.382406145,0.075399506,-0.849825282,-0.790241646,-0.590007812,1.293496207
0,2.544370311,1.006896633,0.395735098,0.078420077,-1.152009673,-0.31015631,0.174724172,1.903992084
0,2.530451693,0.967709716,0.382425682,0.07378554,-1.401859215,-0.994857031,-0.588886884,0.967293003
0,2.379024846,0.982434424,0.412956773,0.082605983,-4.120083724,-0.737576815,1.162796292,2.750017018
0,2.57095843,0.961267709,0.373894691,0.067014685,-0.674733166,-1.107416193,-1.078341827,-0.401182993
0,2.48443463,0.896579542,0.360878701,0.076985949,-2.227899717,-2.237692241,-1.825118006,1.61413641
